
2025/08/12 (10:20:30) | ===> btop++ v.1.4.0
2025/08/12 (10:20:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:30) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:32) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:34) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:36) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:38) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:40) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:42) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:44) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:46) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:48) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:50) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:52) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:54) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:56) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:20:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:20:58) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:00) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:02) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:04) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:06) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:08) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:10) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:12) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:14) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:16) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:20) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:22) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:24) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2025/08/12 (10:21:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/08/12 (10:21:26) | ERROR: Couldn't determine terminal size of "/dev/tty"!
